"ano","uf","idhm","idhm_renda","idhm_longevidade","idhm_educacao"
2015,"AM",0.703,0.658,0.778,0.674
2015,"AP",0.719,0.675,0.811,0.672
2015,"BA",0.698,0.663,0.804,0.628
2015,"CE",0.715,0.644,0.81,0.692
2015,"DF",0.839,0.842,0.881,0.794
2015,"ES",0.777,0.728,0.881,0.723
2015,"GO",0.756,0.728,0.817,0.724
2015,"MA",0.677,0.629,0.755,0.648
2015,"MG",0.769,0.731,0.866,0.71
2015,"MS",0.756,0.753,0.838,0.676
2015,"MT",0.763,0.731,0.816,0.742
2015,"PA",0.682,0.647,0.782,0.616
2015,"PB",0.709,0.672,0.799,0.655
2015,"PE",0.71,0.665,0.808,0.658
2015,"PI",0.675,0.65,0.765,0.611
2015,"PR",0.79,0.758,0.863,0.749
2015,"RJ",0.779,0.765,0.848,0.724
2015,"RN",0.725,0.675,0.841,0.658
2015,"RO",0.708,0.703,0.769,0.653
2015,"RR",0.743,0.707,0.77,0.753
2015,"RS",0.778,0.763,0.875,0.696
2015,"SC",0.816,0.774,0.901,0.773
2015,"SE",0.681,0.652,0.79,0.601
2015,"SP",0.819,0.768,0.88,0.81
2015,"TO",0.732,0.699,0.802,0.694
